model_name,model_slug,limit,stratum,relative_risk
rdg__all__positive,RDG-T,10,pioneer__evidence_free,2.0833333333333335
rdg__all__positive,RDG-T,10,pioneer__literature_only,1.5
rdg__all__positive,RDG-T,20,all,3.693955537405128
rdg__all__positive,RDG-T,20,direct_evidence,5.897708333333334
rdg__all__positive,RDG-T,20,evidence_free,2.883241648524476
rdg__all__positive,RDG-T,20,known,3.4533419913201935
rdg__all__positive,RDG-T,20,known__direct_evidence,5.630681818181818
rdg__all__positive,RDG-T,20,known__evidence_free,2.92077284399713
rdg__all__positive,RDG-T,20,known__literature_only,2.7469047619047617
rdg__all__positive,RDG-T,20,literature_only,2.363095238095238
rdg__all__positive,RDG-T,20,pioneer,3.8550000000000004
rdg__all__positive,RDG-T,20,pioneer__evidence_free,0.7083333333333334
rdg__all__positive,RDG-T,20,pioneer__literature_only,
rdg__all__positive,RDG-T,30,all,3.3743527430883207
rdg__all__positive,RDG-T,30,direct_evidence,5.461428571428571
rdg__all__positive,RDG-T,30,evidence_free,3.6924211206361517
rdg__all__positive,RDG-T,30,known,3.4103028596935565
rdg__all__positive,RDG-T,30,known__direct_evidence,4.219047619047619
rdg__all__positive,RDG-T,30,known__evidence_free,3.87269575357961
rdg__all__positive,RDG-T,30,known__literature_only,3.021857031857032
rdg__all__positive,RDG-T,30,literature_only,2.743304334554335
rdg__all__positive,RDG-T,30,pioneer,3.451851851851852
rdg__all__positive,RDG-T,30,pioneer__evidence_free,1.7
rdg__all__positive,RDG-T,40,all,3.1724326485991785
rdg__all__positive,RDG-T,40,direct_evidence,4.036011904761905
rdg__all__positive,RDG-T,40,evidence_free,4.200778875543405
rdg__all__positive,RDG-T,40,known,3.303540560543624
rdg__all__positive,RDG-T,40,known__direct_evidence,5.811805555555556
rdg__all__positive,RDG-T,40,known__evidence_free,4.512942522896805
rdg__all__positive,RDG-T,40,known__literature_only,4.033517711962833
rdg__all__positive,RDG-T,40,literature_only,3.8861460387902698
rdg__all__positive,RDG-T,40,pioneer,2.463888888888889
rdg__all__positive,RDG-T,40,pioneer__evidence_free,1.025
rdg__all__positive,RDG-T,50,all,3.4668932183400214
rdg__all__positive,RDG-T,50,direct_evidence,6.156538461538462
rdg__all__positive,RDG-T,50,evidence_free,4.609722175526023
rdg__all__positive,RDG-T,50,known,3.5511489394936313
rdg__all__positive,RDG-T,50,known__direct_evidence,5.14875
rdg__all__positive,RDG-T,50,known__evidence_free,4.678151181336158
rdg__all__positive,RDG-T,50,known__literature_only,3.8760854700854703
rdg__all__positive,RDG-T,50,literature_only,3.500301282051282
rdg__all__positive,RDG-T,50,pioneer,2.475
