models,therapeutic_area_name,roc_auc,average_precision,n_samples,n_positives,stratum
rdg__all__positive,infectious disease or post-infectious disorder,0.6655336024360882,0.08493245836160819,550,27,known
rdg__all__positive,integumentary system disease,0.7370261317629738,0.08225090987714101,653,26,known
rdg__all__positive,musculoskeletal or connective tissue disease,0.5276070074882131,0.22302798156571435,804,58,known
rdg__all__positive,nervous system disease,0.7430065484137581,0.10188679926349745,1582,84,known
rdg__all__positive,nutritional or metabolic disease,0.7997798049701164,0.28360931715569526,300,11,known
rdg__all__positive,pancreas disease,0.8926829268292683,0.06787330316742082,207,2,known
rdg__all__positive,phenotype,0.7514495131823652,0.12553016972071762,587,33,known
rdg__all__positive,pregnancy or perinatal disease,0.17391304347826086,0.05,24,1,known
rdg__all__positive,psychiatric disorder,0.6083957430035475,0.18801983721466448,360,59,known
rdg__all__positive,reproductive system or breast disease,0.8959146234930988,0.33655061843754525,969,77,known
rdg__all__positive,respiratory or thoracic disease,0.5149631231416767,0.11660888693151161,598,47,known
rdg__all__positive,urinary system disease,0.9154686865245252,0.6187274617993996,694,137,known
rdg__no_time__positive,all,0.6325895056558177,0.1081513421031886,17342,1314,known
rdg__no_time__positive,biological process,0.7357357357357357,0.1459164545775336,157,9,known
rdg__no_time__positive,cancer or benign tumor,0.5710275964088961,0.03937759113036872,3874,104,known
rdg__no_time__positive,cardiovascular disease,0.6223900334075723,0.3379425736432499,609,160,known
rdg__no_time__positive,disorder of visual system,0.6139972144846797,0.0826157755253368,379,20,known
rdg__no_time__positive,endocrine system disease,0.5551102204408818,0.03453206914516305,1022,24,known
rdg__no_time__positive,gastrointestinal disease,0.5678965690989877,0.05127304543189253,1187,38,known
rdg__no_time__positive,"genetic, familial or congenital disease",0.6949810477866523,0.13134728644707835,1946,166,known
rdg__no_time__positive,hematologic disease,0.6045583641011076,0.09276401877713365,1041,35,known
rdg__no_time__positive,immune system disease,0.4979092382495949,0.09857529812021237,1284,50,known
rdg__no_time__positive,infectious disease,0.6157850010622478,0.06451249016588123,550,27,known
rdg__no_time__positive,infectious disease or post-infectious disorder,0.6157850010622478,0.06451249016588123,550,27,known
rdg__no_time__positive,integumentary system disease,0.5249969328916697,0.04115914779331868,653,26,known
rdg__no_time__positive,musculoskeletal or connective tissue disease,0.4744846075621706,0.15171036136340676,804,58,known
rdg__no_time__positive,nervous system disease,0.7227970627503337,0.09506474153761017,1582,84,known
rdg__no_time__positive,nutritional or metabolic disease,0.710915382195659,0.17154537333531225,300,11,known
rdg__no_time__positive,pancreas disease,0.7682926829268293,0.029809725158562367,207,2,known
rdg__no_time__positive,phenotype,0.3888797724537797,0.04531262484185345,587,33,known
rdg__no_time__positive,pregnancy or perinatal disease,0.13043478260869568,0.047619047619047616,24,1,known
rdg__no_time__positive,psychiatric disorder,0.5575482853764289,0.17297667074145412,360,59,known
rdg__no_time__positive,reproductive system or breast disease,0.6967197600605672,0.12820977611728074,969,77,known
rdg__no_time__positive,respiratory or thoracic disease,0.6747499710391165,0.13768013530815182,598,47,known
rdg__no_time__positive,urinary system disease,0.7903196215387439,0.3584053334100942,694,137,known
ots__all,all,0.502619257234069,0.07905648577839096,13770,1072,evidence_free
ots__all,biological process,0.4965277777777778,0.006896551724137931,145,1,evidence_free
ots__all,cancer or benign tumor,0.4983911333571684,0.022027972027972027,2860,63,evidence_free
ots__all,cardiovascular disease,0.5018575258521638,0.2832915622389306,513,140,evidence_free
ots__all,disorder of visual system,0.5,0.04398826979472141,341,15,evidence_free
ots__all,endocrine system disease,0.5,0.022222222222222223,720,16,evidence_free
ots__all,gastrointestinal disease,0.49695493300852617,0.02955082742316785,846,25,evidence_free
ots__all,"genetic, familial or congenital disease",0.498627316403569,0.0944686140459913,1609,152,evidence_free
ots__all,hematologic disease,0.4974259974259974,0.02631578947368421,798,21,evidence_free
ots__all,immune system disease,0.4967741935483871,0.03125,960,30,evidence_free
ots__all,infectious disease,0.5197111631537861,0.09266444937176645,451,24,evidence_free
ots__all,infectious disease or post-infectious disorder,0.5197111631537861,0.09266444937176645,451,24,evidence_free
ots__all,integumentary system disease,0.49795501022494887,0.03550295857988166,507,18,evidence_free
ots__all,musculoskeletal or connective tissue disease,0.4939550949913644,0.06310679611650485,618,39,evidence_free
ots__all,nervous system disease,0.4992389649923896,0.04713560551124003,1379,65,evidence_free
ots__all,nutritional or metabolic disease,0.5,0.04048582995951417,247,10,evidence_free
ots__all,pancreas disease,0.5,0.017391304347826087,115,2,evidence_free
ots__all,phenotype,0.49599198396793587,0.054924242424242424,528,29,evidence_free
ots__all,pregnancy or perinatal disease,0.5,0.047619047619047616,21,1,evidence_free
ots__all,psychiatric disorder,0.4978540772532189,0.1909722222222222,288,55,evidence_free
